directness,fto,convo_num
0.6959846858234578,42.0,/home/chas/Projects/switchboard-pipeline/all-markup/2893
0.5118535329316058,342.0,/home/chas/Projects/switchboard-pipeline/all-markup/2893
0.7236410941387027,110.0,/home/chas/Projects/switchboard-pipeline/all-markup/2893
0.4721195379606429,604.0,/home/chas/Projects/switchboard-pipeline/all-markup/2893
0.09436871773341911,311.0,/home/chas/Projects/switchboard-pipeline/all-markup/2893
0.44733227515746693,-134.0,/home/chas/Projects/switchboard-pipeline/all-markup/2893
0.6391517043118234,76.0,/home/chas/Projects/switchboard-pipeline/all-markup/2893
0.5539955240258784,53.0,/home/chas/Projects/switchboard-pipeline/all-markup/2893
0.7968043282315171,-769.0,/home/chas/Projects/switchboard-pipeline/all-markup/2893
0.7029317998106817,184.0,/home/chas/Projects/switchboard-pipeline/all-markup/2893
0.6075332667386244,773.0,/home/chas/Projects/switchboard-pipeline/all-markup/2893
0.7394507613626149,-147.0,/home/chas/Projects/switchboard-pipeline/all-markup/2893
0.715300371633202,21.0,/home/chas/Projects/switchboard-pipeline/all-markup/2893
0.7289113813133847,-44.0,/home/chas/Projects/switchboard-pipeline/all-markup/2893
0.7409574244307532,168.0,/home/chas/Projects/switchboard-pipeline/all-markup/2893
0.7991621267318938,199.0,/home/chas/Projects/switchboard-pipeline/all-markup/2893
0.7443288615579153,104.0,/home/chas/Projects/switchboard-pipeline/all-markup/2893
0.688765959885234,420.0,/home/chas/Projects/switchboard-pipeline/all-markup/2893
0.04099199603161238,-75.0,/home/chas/Projects/switchboard-pipeline/all-markup/2893
0.9108047764302979,-855.0,/home/chas/Projects/switchboard-pipeline/all-markup/2893
0.8636063130220083,644.0,/home/chas/Projects/switchboard-pipeline/all-markup/2893
0.04409480818690122,197.0,/home/chas/Projects/switchboard-pipeline/all-markup/2893
0.6939513291814398,443.0,/home/chas/Projects/switchboard-pipeline/all-markup/2893
0.5006803309309944,107.0,/home/chas/Projects/switchboard-pipeline/all-markup/2893
0.899190348580296,412.0,/home/chas/Projects/switchboard-pipeline/all-markup/2893
0.7119966086367764,208.0,/home/chas/Projects/switchboard-pipeline/all-markup/2893
0.4006315912815824,487.0,/home/chas/Projects/switchboard-pipeline/all-markup/2893
0.5230809882637848,-52.0,/home/chas/Projects/switchboard-pipeline/all-markup/2893
0.03405273909324457,674.0,/home/chas/Projects/switchboard-pipeline/all-markup/2893
0.5558074040110232,68.0,/home/chas/Projects/switchboard-pipeline/all-markup/2893
0.8072337567160307,303.0,/home/chas/Projects/switchboard-pipeline/all-markup/2893
0.45117461751545823,330.0,/home/chas/Projects/switchboard-pipeline/all-markup/2893
0.2962195681325833,-483.0,/home/chas/Projects/switchboard-pipeline/all-markup/2893
0.7044225509737447,-111.0,/home/chas/Projects/switchboard-pipeline/all-markup/2893
0.7129313948211801,312.0,/home/chas/Projects/switchboard-pipeline/all-markup/2893
0.8310188335757169,68.0,/home/chas/Projects/switchboard-pipeline/all-markup/2893
0.7342354024660445,-211.0,/home/chas/Projects/switchboard-pipeline/all-markup/2893
0.09452492461865863,452.0,/home/chas/Projects/switchboard-pipeline/all-markup/2893
0.6923510584331062,536.0,/home/chas/Projects/switchboard-pipeline/all-markup/2893
0.736792216872684,207.0,/home/chas/Projects/switchboard-pipeline/all-markup/2893
0.7306923117762925,546.0,/home/chas/Projects/switchboard-pipeline/all-markup/2893
0.047525796709045005,32.0,/home/chas/Projects/switchboard-pipeline/all-markup/2893
0.6481406082995775,-846.0,/home/chas/Projects/switchboard-pipeline/all-markup/2893
0.6881779298864016,207.0,/home/chas/Projects/switchboard-pipeline/all-markup/2893
0.8045034166571137,324.0,/home/chas/Projects/switchboard-pipeline/all-markup/2893
0.7000354826327435,-28.0,/home/chas/Projects/switchboard-pipeline/all-markup/2893
0.45568316210910664,-184.0,/home/chas/Projects/switchboard-pipeline/all-markup/2893
0.8001189114486532,-6.0,/home/chas/Projects/switchboard-pipeline/all-markup/2893
0.4981974893034353,-135.0,/home/chas/Projects/switchboard-pipeline/all-markup/2893
0.8818838328145931,-149.0,/home/chas/Projects/switchboard-pipeline/all-markup/2893
0.7934427798582794,487.0,/home/chas/Projects/switchboard-pipeline/all-markup/2893
0.07714861842249715,745.0,/home/chas/Projects/switchboard-pipeline/all-markup/2893
